Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
Amino Payments,https://www.crunchbase.com/organization/amino-2,,"Philadelphia, Pennsylvania, United States","Amino is a payments company bringing transparency to online advertising by eliminating fraud, waste, and abuse.","18,205",2/1/17,,7/25/17,1,"$1,850,000 ",Seed,"$1,850,000 ","$1,850,000 ","$1,850,000 "
University Circle Investments,https://www.crunchbase.com/organization/university-circle-investments,,"Cleveland, Ohio, United States","UCI Group manages long-term, superior risk adjusted investments. The fund focuses on fundamental, research-oriented stock selection.","52,643",2/1/17,,2/1/17,1,"$5,000 ",Seed,"$5,000 ","$5,000 ","$5,000 "
Scripturally Sound,https://www.crunchbase.com/organization/scripturally-sound,"Media and Entertainment, Community and Lifestyle, Software, Education","Nashville, Tennessee, United States",enhancing the church worship experience by connecting scriptures to songs in one simple search,"55,178",2/1/17,,2/15/17,1,"$48,000 ",Seed,"$48,000 ","$48,000 ","$48,000 "
Lumen Lighting,https://www.crunchbase.com/organization/lumen-lighting,,"Orem, Utah, United States","A wedding/event lighting service founded in Orem, UT.","59,665",2/1/17,,3/9/17,1,"$12,000 ",Seed,"$12,000 ","$12,000 ","$12,000 "
LabWorthy,https://www.crunchbase.com/organization/labworthy,,"Los Angeles, California, United States","Growth platform for B2B professional businesses (dental labs, optometrists) incorporating user reviews and NPS.","60,130",2/1/17,,2/1/17,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Carbice Corporation,https://www.crunchbase.com/organization/carbice-nanotechnologies,"Science and Engineering, Energy, Hardware, Information Technology, Sustainability, Consumer Electronics, Data and Analytics, Software, Transportation, Internet Services, Artificial Intelligence, Mobile","Atlanta, Georgia, United States","Game-changing heat dissipation solutions for smaller, cheaper, lighter, and more functional electronic devices. We enable a connected future","7,328",1/30/17,,7/19/17,1,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
"Sensu, Inc.",https://www.crunchbase.com/organization/sensu-inc,"Hardware, Information Technology, Software, Internet Services","Portland, Oregon, United States",Full-stack monitoring for dynamic operating environments,"15,256",1/30/17,,1/30/17,1,"$2,500,000 ",Seed,"$2,500,000 ","$2,500,000 ","$2,500,000 "
Let's Eat,https://www.crunchbase.com/organization/let-s-eat,,"St Louis, Missouri, United States","Lets Eat. Order home cooked meals as easily as you'd order restaurant takeaway, or enjoy home cooking in someone's home.","43,534",1/26/17,,3/1/17,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
How Clip,https://www.crunchbase.com/organization/pupil-clip,"Media and Entertainment, Software, Sales and Marketing, Education, Advertising","San Francisco, California, United States","User Generated Video Learning Platform - where users may discover, develop, and innovate tasks","35,566",1/23/17,,3/15/17,1,"$10,000 ",Seed,"$10,000 ","$10,000 ","$10,000 "
GamerTrainer,https://www.crunchbase.com/organization/gamertrainer-2,,"Arlington, Virginia, United States",GamerTrainer is a platform for 1-on-1 video game lessons from pro gamers.,"62,541",1/21/17,,3/28/17,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
Tinsley Studios,https://www.crunchbase.com/organization/tinsley-studios,,"Siler City, North Carolina, United States",We're changing the way new parents welcome their kids into the world through information and technology.,"41,273",1/17/17,,1/17/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Hellosnap,https://www.crunchbase.com/organization/hellosnap,,"Venice, California, United States",The easiest way to exchange contacts.,"33,708",1/11/17,,1/11/17,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
EquBot,https://www.crunchbase.com/organization/equbot,"Science and Engineering, Data and Analytics, Software, Financial Services, Artificial Intelligence","San Francisco, California, United States",EquBot is a technology company that is disrupting the investment process. Our powerful AI provides unique investment insights to investors.,"17,132",1/5/17,,6/10/17,1,"$160,000 ",Seed,"$160,000 ","$160,000 ","$160,000 "
TrophyHunts.com,https://www.crunchbase.com/organization/trophyhunts-com,,"Dallas, Texas, United States","A new, comprehensive directory enabling hunters to quickly locate the exact type of hunting experience they want.","29,575",1/5/17,,4/3/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Stellarcasa Inc,https://www.crunchbase.com/organization/stellarcasa-sa,"Media and Entertainment, Music and Audio, Internet Services, Video, Content and Publishing, Advertising","New York, New York, United States","StellarCasa is a video-sharing platform that allows Artists to upload view and share profile videos, and connect with each other to connect.","64,532",1/3/17,,7/12/17,2,"â‚¬50,000",Seed,"â‚¬50,000","$102,167 ","$102,167 "
Flont.Club,https://www.crunchbase.com/organization/flont-inc,"Commerce and Shopping, Consumer Goods","New York, New York, United States","Pioneering JAAS - Jewelry As A Service. Fine jewelry in the sharing economy, in partnership with the leading brands and designers.","4,230",1/1/17,,3/10/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Boundless,https://www.crunchbase.com/organization/boundless-2,Government and Military,"Seattle, Washington, United States","Boundless provides immigrants with the tools, information, and personalized support to navigate their immigration journey.","6,940",1/1/17,,4/20/17,1,"$3,500,000 ",Seed,"$3,500,000 ","$3,500,000 ","$3,500,000 "
Everdays,https://www.crunchbase.com/organization/everdays,"Apps, Software, Health Care, Internet Services","Birmingham, Michigan, United States","Everdays is a free, simple app to notify important friends, family, and community when a loved one passes away.","8,918",1/1/17,,3/24/17,1,"$5,000,000 ",Seed,"$5,000,000 ","$5,000,000 ","$5,000,000 "
Officeprise.com,https://www.crunchbase.com/organization/officeprise-com,,"Dallas, Texas, United States","Hosted Workspace-as-a-Service that stores all your companyâ€™s applications, available anywhere, through any desktop, laptop, tablet or phone.","13,558",1/1/17,,4/7/17,2,"$1,700,000 ",Seed,"$1,700,000 ","$1,800,000 ","$1,800,000 "
Polygram,https://www.crunchbase.com/organization/polygram,"Apps, Science and Engineering, Media and Entertainment, Data and Analytics, Software, Internet Services, Content and Publishing, Artificial Intelligence","San Francisco, California, United States",Polygram is a artificial intelligence platform and photo sharing social network.,"13,578",1/1/17,,8/25/17,1,"$2,100,000 ",Seed,"$2,100,000 ","$2,100,000 ","$2,100,000 "
May Mobility,https://www.crunchbase.com/organization/may-mobility,"Travel and Tourism, Transportation","Ann Arbor, Michigan, United States",May Mobility develops autonomous vehicles from the chassis up with a focus on system level safety design.,"13,886",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Incredible Health,https://www.crunchbase.com/organization/incredible-health,"Travel and Tourism, Health Care","San Francisco, California, United States","Incredible health- advanced software and algorithms, and human experts that provide personalized advice and support.","14,014",1/1/17,,3/2/17,1,"$340,000 ",Seed,"$340,000 ","$340,000 ","$340,000 "
eVote,https://www.crunchbase.com/organization/evote-com,,"New City, New York, United States","eVote exists to enable people to think, decide and act together.","14,838",1/1/17,,5/17/17,1,"$3,000,000 ",Seed,"$3,000,000 ","$3,000,000 ","$3,000,000 "
Shelf Engine,https://www.crunchbase.com/organization/shelf-engine,,"Seattle, Washington, United States",A powerful prediction engine that recommends what to order everyday.,"15,485",1/1/17,,2/6/17,1,"$800,000 ",Seed,"$800,000 ","$800,000 ","$800,000 "
Scribe,https://www.crunchbase.com/organization/scribe-2,"Science and Engineering, Information Technology, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence","San Francisco, California, United States","Scribe automates Sales Development Representatives for inbound sales, using artificial intelligence","18,121",1/1/17,,3/21/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Findy.com,https://www.crunchbase.com/organization/findy-com,,"Irvine, California, United States",Findy - Find most anything. Findy is a new mobile search browser for iOS & Android,"18,279",1/1/17,,1/1/15,1,"$2,500,000 ",Seed,"$2,500,000 ","$2,500,000 ","$2,500,000 "
huddle.,https://www.crunchbase.com/organization/huddle-4,"Apps, Community and Lifestyle, Software, Mobile","New York, New York, United States",Huddle is an online video platform where people could share their issues with one another.,"18,341",1/1/17,,8/15/17,1,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,200,000 "
Alto,https://www.crunchbase.com/organization/alto-2,"Commerce and Shopping, Health Care, Internet Services","Palo Alto, California, United States",Alto is the first advantage club for people with disabilities and their families.,"18,962",1/1/17,,3/2/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
LARKR,https://www.crunchbase.com/organization/larkr,"Health Care, Mobile","South Lake Tahoe, California, United States",On-demand mental health care in the palm of your hand,"20,642",1/1/17,,3/10/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Chaos Sumo,https://www.crunchbase.com/organization/chaos-sumo,,"Medford, Massachusetts, United States",Wrestling data chaos,"21,942",1/1/17,,6/20/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Black Swan Technology,https://www.crunchbase.com/organization/black-swan-technology,,"Seattle, Washington, United States",We create and structure derivatives that hedge against the financial risks arising from cloud service outages. Our predictive models and dat,"23,238",1/1/17,,12/15/16,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Releaf,https://www.crunchbase.com/organization/releaf,Commerce and Shopping,"Cinnaminson, New Jersey, United States",Releaf connects African businesses to customers they can trust,"27,328",1/1/17,,8/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Anryze,https://www.crunchbase.com/organization/anryze,,"New York, New York, United States",A.I. powered sales analytics based on voice recognition,"29,253",1/1/17,,1/31/17,1,"$130,000 ",Seed,"$130,000 ","$130,000 ","$130,000 "
Kirsh Helmets,https://www.crunchbase.com/organization/kirsh-helmets,,"Schenectady, New York, United States",Kirsh Helmets aims to offer the safest and lowest profile motorcycle helmet ever by utilizing their patented Fluid Displacement Liner.,"29,327",1/1/17,,7/26/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Templarbit,https://www.crunchbase.com/organization/templarbit,"Apps, Information Technology, Software, Privacy and Security","San Francisco, California, United States",Templarbit protects applications from malicious activity.,"31,805",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Apic Bio,https://www.crunchbase.com/organization/apic-bio,,"Cambridge, Massachusetts, United States",Advancing therapies to treat rare diseases .,"34,490",1/1/17,,8/23/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Lambda School,https://www.crunchbase.com/organization/lambda-school,"Science and Engineering, Software, Education","San Francisco, California, United States",Lambda School trains people to be software engineers in exchange for a share of future income,"38,311",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Synspira,https://www.crunchbase.com/organization/synspira,Health Care,"Boston, Massachusetts, United States","A privately held company developing a new class of glycopolymer-based therapeutics for pulmonary disease,","41,414",1/1/17,,6/29/17,1,"$8,000,000 ",Seed,"$8,000,000 ","$8,000,000 ","$8,000,000 "
Plutus Edge,https://www.crunchbase.com/organization/plutus-edge,,"United States, North America",Advancing humanity by solving the worlds greatest problems,"43,828",1/1/17,,5/1/17,2,"$25,000 ",Seed,"$25,000 ","$50,000 ","$50,000 "
Downstream,https://www.crunchbase.com/organization/downstream-2,"Science and Engineering, Hardware, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence, Advertising","San Francisco, California, United States",Making mobile customer acquisition more effective with AI.,"47,268",1/1/17,,6/30/17,1,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
Standard Cognition,https://www.crunchbase.com/organization/standard-cognition,"Science and Engineering, Hardware, Commerce and Shopping, Data and Analytics, Software, Artificial Intelligence","Palo Alto, California, United States",Standard Cognition is an artificial intelligence platform that allows buyers to grab what they want without having to go to a cashier.,"47,330",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
AutoHub,https://www.crunchbase.com/organization/autohub,"Commerce and Shopping, Transportation","San Francisco, California, United States",AutoHub is a B2B marketplace for auto dealerships.,"47,694",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Elevate Security,https://www.crunchbase.com/organization/elevate-security,,"San Francisco, California, United States",Creating behaviors that prevent breaches,"48,136",1/1/17,,6/21/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Flock Safety,https://www.crunchbase.com/organization/flock-safety,"Community and Lifestyle, Software, Privacy and Security","Atlanta, Georgia, United States",Flock Safety offers security systems for neighborhoods that help police solve crime.,"48,197",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Just Appraised,https://www.crunchbase.com/organization/just-appraised,"Information Technology, Real Estate, Data and Analytics, Software, Artificial Intelligence","Palo Alto, California, United States","Just Appraised uses machine learning to evaluate public and private data, which enables it to build a comprehensive proprietary data set.","48,894",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Givv,https://www.crunchbase.com/organization/givv,,"San Francisco, California, United States",Acorns for charity,"49,072",1/1/17,,4/18/16,1,"$30,000 ",Seed,"$30,000 ","$30,000 ","$30,000 "
RoverMed BioSciences,https://www.crunchbase.com/organization/rovermed-biosciences,"Biotechnology, Science and Engineering, Health Care","Saint Cloud, Minnesota, United States",RoverMed has developed precision targeted nanocapsule technology aimed at delivering life saving drugs to the most challenging disease sites,"49,375",1/1/17,,3/1/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Dharma Labs,https://www.crunchbase.com/organization/dharma-labs,"Financial Services, Lending and Investments","Stanford, California, United States",Dharma Labs is building protocol for debt on blockchains.,"49,785",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Darmiyan,https://www.crunchbase.com/organization/darmiyan,Health Care,"San Francisco, California, United States",Darmiyan is a software platform that detect Alzheimerâ€™s disease up to fifteen years before symptoms.,"49,933",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Life Bot,https://www.crunchbase.com/organization/life-bot,"Apps, Information Technology, Software, Mobile","San Francisco, California, United States",Life Bot is the only voice app you need to complete daily activities with your voice.,"49,965",1/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Rivery.io,https://www.crunchbase.com/organization/rivery-io,,"New York, New York, United States","Rivery is an integration & data preparation platform to the cloud, which streams your data in an easy and fast & most efficient way!","50,745",1/1/17,,1/1/17,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
